Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Educational index ","Income index"
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",0.600,0.494,0.568
"Cameroon","Africa","CMR","National","CMRt","Total",0.587,0.590,0.545
"Canada","America","CAN","National","CANt","Total",0.935,0.906,0.934
"Central African Republic","Africa","CAF","National","CAFt","Total",0.387,0.334,0.327
"Chad","Africa","TCD","National","TCDt","Total",0.394,0.303,0.397
"Chile","America","CHL","National","CHLt","Total",0.860,0.836,0.831
"China","Asia/Pacific","CHN","National","CHNt","Total",0.788,0.693,0.785
"Colombia","America","COL","National","COLt","Total",0.758,0.696,0.757
"Comoros","Africa","COM","National","COMt","Total",0.586,0.569,0.526
"Congo, Dem. Rep.","Africa","COD","National","CODt","Total",0.481,0.506,0.359
"Congo, Rep.","Africa","COG","National","COGt","Total",0.593,0.620,0.509
"Costa Rica","America","CRI","National","CRIt","Total",0.806,0.740,0.802
"Cote d'Ivoire","Africa","CIV","National","CIVt","Total",0.534,0.422,0.602
"Croatia","Europe","HRV","National","HRVt","Total",0.878,0.844,0.882
"Cuba","America","CUB","National","CUBt","Total",0.764,0.754,0.661
"Cyprus","Europe","CYP","National","CYPt","Total",0.907,0.866,0.906
"Czechia","Europe","CZE","National","CZEt","Total",0.895,0.885,0.905
"Denmark","Europe","DNK","National","DNKt","Total",0.952,0.932,0.971
"Djibouti","Africa","DJI","National","DJIt","Total",0.515,0.353,0.587
"Dominica","America","DMA","National","DMAt","Total",0.740,0.683,0.729
"Dominican Republic","America","DOM","National","DOMt","Total",0.766,0.682,0.790
"Ecuador","America","ECU","National","ECUt","Total",0.765,0.712,0.706
"Egypt, Arab Rep.","Africa","EGY","National","EGYt","Total",0.728,0.687,0.728
"El Salvador","America","SLV","National","SLVt","Total",0.674,0.569,0.678
"Equatorial Guinea","Africa","GNQ","National","GNQt","Total",0.650,0.613,0.705
"Eritrea","Africa","ERI","National","ERIt","Total",0.493,0.373,0.449
"Estonia","Europe","EST","National","ESTt","Total",0.899,0.894,0.894
"Eswatini","Africa","SWZ","National","SWZt","Total",0.610,0.606,0.669
"Ethiopia","Africa","ETH","National","ETHt","Total",0.492,0.356,0.478
"Fiji","Asia/Pacific","FJI","National","FJIt","Total",0.729,0.730,0.713
"Finland","Europe","FIN","National","FINt","Total",0.942,0.931,0.937
"France","Europe","FRA","National","FRAt","Total",0.910,0.834,0.931
"Gabon","Africa","GAB","National","GABt","Total",0.693,0.664,0.713
