geonameid,nearest_hdd_1,nearest_hdd_2,nearest_hdd_3,nearest_hdd_4,nearest_hdd_5,nearest_hdd_6,nearest_hdd_7,nearest_hdd_8,nearest_hdd_9,nearest_hdd_10,nearest_hdd_11,nearest_hdd_12,total_year,average_year,variance_year
118743,14.108604431152363,0.0,0.041113535563151,0.0,43.30674362182619,35.849702199300125,17.545900980631494,23.98850631713867,13.480115254720026,59.94120915730789,24.939754486083984,2.5075709025065107,93.30616378784184,15.551027297973638,381.74458001773974
124665,5.9650891621907585,2.9841016133626286,0.0,14.69735972086588,15.591411590576172,53.27206548055008,32.50854746500648,49.57208379109692,26.041069030761747,27.528448740641288,5.435855865478516,3.8118515014648433,92.51002756754552,15.418337927924254,383.03074862181063
132892,12.814414978027331,2.2753957112630214,0.0,4.550712585449219,15.65700403849281,44.4221305847168,15.313234965006544,32.82330449422203,18.172498067220047,39.506638844807945,6.124537150065105,7.520347595214844,79.71965789794919,13.286609649658198,269.8718254319923
141681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418863,0.0,0.0,0.0,0.0,6.976095835367833,19.24472173055013,0.1739540100097656,19.482809702555343,0.0,28.89832178751625,0.5489031473795574,0.0,26.22081756591796,4.370136260986327,60.88733639060389
2523920,0.9830983479817712,2.907826741536459,0.7434336344401052,13.955660502115911,25.44289271036782,25.803966522216825,58.748049418131565,69.09845097859693,56.07736460367829,13.61023585001627,15.776521046956386,0.0,69.83687845865889,11.639479743109815,141.01112758982524
3164603,86.78503672281903,78.18647384643553,79.31368637084961,89.62916310628259,88.72699101765954,108.81625493367522,121.0886255900064,145.73313522338864,143.00501759847003,119.74890772501617,86.31615320841473,90.86312103271484,531.4576059977215,88.57626766628692,121.5480254173395
3165523,94.85038503011066,75.79991785685222,75.79944483439127,96.60719045003252,87.4353243509928,104.1339632670084,115.26855723063171,148.490540822347,139.47059377034503,125.13757960001652,90.19619878133136,82.14689381917317,534.6262257893878,89.10437096489797,134.40257421472208
3169070,27.948610941569022,38.24824142456055,45.32922999064127,54.43629201253251,49.89373906453447,61.226411183675154,91.48624928792324,109.9423637390134,105.86707814534512,84.46521631876634,54.2389233907064,55.23885345458977,277.082524617513,46.1804207695855,140.87457095787167
3172391,12.789187113443992,23.704377492268893,33.24003728230793,29.440523783365897,23.164816538492843,43.80657068888343,75.19661712646486,90.17885462443036,86.24736785888672,50.46562321980801,25.464021046956372,9.208091735839844,166.145512898763,27.6909188164605,110.40155797403126
3173435,91.83313242594404,76.6627108256022,74.67680486043294,91.61459604899092,84.0497449239095,101.4598096211752,114.84220631917312,148.838685353597,139.5462773640952,123.15971501668288,83.17528406778973,83.51172129313144,520.2967987060548,86.7161331176758,104.13619370367826
3489854,0.0,0.0,0.0,0.0,0.0,0.0,0.4321454366048176,0.8065032958984375,3.281435648600259,0.0,0.0,0.0,0.0,0.0,0.0
250441,0.0,0.0,0.0,0.0,0.0,0.0,14.013999938964826,0.0,0.0,11.972947438557936,0.0,0.0,0.0,0.0,0.0
1848354,24.759651184082056,18.626993815104168,37.764260609944664,25.444430033365897,23.34965006510417,66.5595817565918,63.38997650146476,67.12563196818039,9.429663340250652,63.8590965270996,14.30341084798178,16.221871693929025,196.50456746419275,32.75076124403213,314.65470677553645
