geonameid,2m_temperature_2023_avg,2m_dewpoint_temperature_2023_avg,total_precipitation_2023
1717512,300.51,297.17,2.539
1166993,295.65,287.73,0.767
1167528,290.04,275.21,0.289
1168197,295.88,285.49,0.584
1172451,297.51,290.29,0.629
1174872,299.44,293.46,0.178
1176615,295.04,287.06,0.768
756135,283.74,278.8,0.713
3088171,283.63,279.14,0.787
3094802,283.56,279.34,1.019
2267057,290.23,285.93,0.357
2268339,291.62,286.44,0.235
2735943,289.19,285.1,1.39
3439389,297.32,291.52,1.537
681290,283.14,279.07,0.895
683506,287.07,280.52,0.59
792680,287.35,282.31,0.836
498817,279.37,275.71,0.749
499099,280.29,274.09,0.49
501175,285.03,279.31,0.698
524901,279.77,275.28,0.73
581049,275.86,272.47,0.665
1486209,277.26,271.1,0.473
1496153,277.17,270.91,0.449
1502026,275.19,269.42,0.479
2013159,265.27,259.68,0.304
2013348,280.72,276.61,1.137
2023469,274.01,269.26,0.593
202061,294.11,288.08,1.182
108410,300.53,276.96,0.095
2108502,298.28,295.97,4.437
364132,300.62,279.6,0.001
377039,301.94,292.89,0.249
379003,302.12,279.53,0.089
379252,304.21,279.78,0.021
379555,300.08,277.14,0.125
605155,273.06,268.93,0.712
2673730,280.24,276.49,0.741
2711537,281.41,277.78,1.194
2713573,276.04,272.2,0.853
1880252,300.58,297.26,2.639
3239318,284.71,280.73,1.616
724443,283.21,279.37,1.173
3060972,285.54,280.03,0.8
2407790,299.25,295.61,2.302
2409306,299.93,296.66,2.864
2410048,299.65,296.19,2.725
2253354,298.11,293.95,0.329
53654,299.95,296.06,0.558
373303,302.03,291.0,0.707
2410763,299.35,296.13,1.515
3583361,299.81,292.93,1.433
170654,290.95,278.92,0.208
934995,293.98,288.08,0.925
2427123,302.53,285.91,0.377
2432678,303.15,276.57,0.002
2365267,300.69,297.27,1.181
1609350,302.38,296.85,1.043
1221874,287.28,277.07,0.533
1645457,299.0,294.34,1.129
2464461,295.43,282.0,0.084
2468369,294.83,285.51,0.102
4032402,297.49,293.02,1.898
311046,290.71,283.7,0.995
323786,285.84,277.23,0.571
745044,289.33,284.84,0.824
3573703,300.22,296.42,1.375
1668341,294.97,291.26,1.686
148730,300.11,296.1,1.3
149658,297.05,288.18,0.914
153220,297.72,292.0,0.966
154380,291.89,285.95,2.348
155946,298.56,292.37,0.769
160263,299.62,295.67,1.339
698740,286.5,280.44,0.438
703448,283.64,278.46,0.652
229362,297.45,291.07,1.384
232422,295.97,291.88,1.578
233508,296.74,291.78,1.589
4138106,288.26,280.92,1.013
4164138,298.73,294.0,1.586
4335045,295.5,290.36,1.054
4560349,287.58,280.34,1.142
4560349,287.58,280.34,1.142
4671654,295.05,286.89,0.749
4699066,295.44,289.91,1.039
4887398,284.7,279.17,0.966
4887398,284.7,279.17,0.966
4930956,284.94,279.7,1.245
4930956,284.94,279.7,1.245
5059296,279.92,274.84,0.636
5128581,286.84,281.09,1.282
5128581,286.84,281.09,1.282
5367440,288.02,281.1,0.632
