geonameid,latitude,longitude,population_density
2867714,48.13743,11.57549,24571.478643101353
2907911,49.40768,8.69079,6083.873144074136
2911298,53.55073,9.99302,12350.872909767226
2925533,50.11552,8.68417,16318.979699576274
2934246,51.22172,6.77616,8487.150109827791
2950159,52.52437,13.41053,12333.318698976655
220782,11.78778,42.88222,13848.99709262848
223817,11.58901,43.14503,19133.597468720138
225284,11.15583,42.7125,10872.522874395849
2618425,55.67594,12.56553,9893.645069020165
3575635,15.30174,-61.38808,3922.584057347141
3492908,18.47186,-69.89232,12415.48338791577
2508807,26.73333,-0.91667,0.0
3652462,-0.22985,-78.52495,11356.220551116914
358619,31.26531,32.3019,21303.15675719522
359796,29.97371,32.52627,17098.814344894585
360502,25.69893,32.6421,85177.21245146521
360630,30.06263,31.24967,51028.32222258568
361055,30.60427,32.27225,32828.17892557145
361058,31.20176,29.91582,50799.834755473144
343300,15.33805,38.93184,11065.920414954871
2510911,37.38283,-5.97317,18226.32535469055
3109718,43.46472,-3.80444,10270.17914797125
3117735,40.4165,-3.70256,29271.58653698921
3128760,41.38879,2.15899,33443.72140291002
344979,9.02497,38.74689,48703.076491842265
658225,60.16952,24.93545,16211.908565052385
2973783,48.58392,7.74553,12109.538909418303
2988506,48.85339,2.34864,26694.99500226643
2990440,43.70313,7.26608,9454.889602895308
2996944,45.74846,4.84671,13166.615155661686
3031580,44.806,-0.59763,4399.059729797849
2399697,0.39241,9.45356,7974.343438098431
2643743,51.50853,-0.12574,4673.263051532649
2650225,55.95206,-3.19648,8774.20630051924
2655603,52.48142,-1.89983,4850.004518314368
2655984,54.59682,-5.92541,3231.0212154368764
2657832,57.14369,-2.09814,5855.076058004103
611717,41.69411,44.83368,11428.806961280501
2294877,9.40079,-0.8393,7153.0339397031075
2294915,4.89816,-1.76029,13389.397180926093
2298893,5.39876,-0.79751,204.64954049729744
2306104,5.55602,-0.1969,23186.96762407303
2413876,13.45274,-16.57803,8250.502049763465
2422465,9.53795,-13.67729,2454.086289735171
2309527,3.75578,8.78166,10748.041045008806
264371,37.98376,23.72784,18937.246908895075
734077,40.64361,22.93086,19162.20963169852
3598132,14.64072,-90.51327,9359.273273963929
2374688,11.57694,-15.47611,1658.8850237112492
2374775,11.86357,-15.59767,12396.939363280722
3378644,6.80448,-58.15527,5859.098878327356
3600949,14.0818,-87.20681,8564.344059106204
3186886,45.81444,15.97798,11509.95012383101
3190261,43.50891,16.43915,6672.653222319127
3191648,45.32673,14.44241,3637.198516876643
3718426,18.54349,-72.33881,22568.213268190622
721472,47.53167,21.62444,5257.734918597671
3044310,47.23088,16.62155,4983.930909428746
1214520,3.58333,98.66667,26432.916075277328
1622786,-5.14861,119.43194,22192.444171862604
1625812,-7.55611,110.83167,7377.276357336044
1625822,-7.24917,112.75083,18116.338947505952
1633070,-2.91673,104.7458,2219.6101285330114
1633419,-0.94924,100.35427,9612.736474606247
1636544,1.48218,124.84892,9787.287586002993
1642911,-6.21462,106.84513,17894.311339941025
1645528,-8.65,115.21667,9026.983609538078
1650213,-3.31987,114.59075,20612.187626047133
1650357,-6.92222,107.60694,43295.42339132309
1650527,-1.26753,116.82887,10804.84374924171
2963398,52.65417,-7.25222,2466.6593710932775
2964574,53.33306,-6.24889,6838.363366081483
2965367,54.18333,-7.23333,382.6698059836247
281184,31.76904,35.21633,24181.27900056437
1252926,20.82037,70.52262,2019.049912435189
1253102,17.68009,83.20161,43881.76784865446
1253184,16.50745,80.6466,27691.14894823825
1253405,25.31668,83.01041,33104.27325903237
1253914,23.18239,75.77643,24701.41083230495
1254163,8.4855,76.94924,24442.363923039436
1254360,13.63551,79.41989,14949.668665242196
1255364,21.19594,72.83023,98593.99588417291
1255634,34.08565,74.80555,633.0107510017826
1256237,31.10442,77.16662,34070.06753326874
1256523,25.56892,91.88313,17770.00109021343
1258526,23.34316,85.3094,13745.561176089646
1258847,22.29161,70.79322,22778.276696891786
1258980,21.23333,81.63333,15047.277718965748
1259148,26.49022,74.55211,5455.587058823341
1259184,19.79825,85.82494,22902.231282123405
1259229,18.51957,73.85535,50390.229142867924
1259395,21.64219,69.60929,11681.177816686333
1260086,25.59408,85.13563,35220.26877597808
1260107,30.33625,76.3922,14446.462169399263
1260476,29.38747,76.96825,20892.907474918364
1260607,15.49574,73.82624,6425.262233015337
1261529,14.44992,79.98697,22500.00793393612
1261731,19.99727,73.79096,15759.98994392395
1261977,19.16023,77.31497,32152.412736683487
1262180,21.14631,79.08491,27071.149220363943
1262321,12.29791,76.63925,9852.976838301867
1263364,27.5035,77.67215,9787.920498254298
1263780,12.91723,74.85603,7217.046787692159
