latitude,longitude,Residential EUI (kWh/m²/year),Non-residential EUI (kWh/m²/year),Residential Area,Non-Residential Area
47.61591,-122.33238,,20.113368780424913,,93660.0
47.61597,-122.33086,,97.35405441995124,,413715.0
47.6177,-122.3306,,63.15098744898229,,380312.0
47.61695,-122.32965,,86.59584949743224,,497513.0
47.61431,-122.34244,,92.82283022435215,,543876.0
47.6177,-122.3545,,409.7228488199343,,109347.0
47.6182,-122.352,,70.62833738849751,,396626.0
47.61598,-122.34369,,136.49579357965666,,287471.0
47.61734,-122.34434,,93.84702099296864,,192630.0
47.6176,-122.35686,,487.7971581351279,,253103.0
47.7019,-122.36374,,1219.6130915154988,,60880.0
47.60227,-122.33202,,175.493016312878,,50176.0
47.60198,-122.33174,,158.08222084682438,,304346.0
47.54066,-122.33023,,51.65796862659732,,128800.0
47.60932,-122.33388,,106.2347299228001,,226061.0
47.60842,-122.33305,,109.90447277423804,,336330.0
47.60869,-122.33588,,59.70177906668528,,552176.0
47.60887,-122.33429,,231.1727057868694,,476871.0
47.60804,-122.33391,,135.6468551567518,,544174.0
47.57936,-122.29744,,96.28194029101246,,291940.0
47.52871,-122.29443,,189.64896407073022,,91360.0
47.62323,-122.33028,,43.850836045269986,,141131.0
47.62333,-122.3296,,171.4872664739783,,176532.0
47.65825,-122.3683,,114.33352261421668,,52500.0
47.61429,-122.35263,,66.34578070398865,,350310.0
47.60723,-122.33611,,94.60213750123201,,1413575.0
47.60669,-122.337,,114.80024868818836,,899127.0
47.60968,-122.33379,,138.75119970246195,,305548.0
47.61054,-122.33466,,96.79339192972378,,1536606.0
47.61003,-122.33452,,71.14572242697729,,135918.0
47.61159,-122.33601,,92.57929518600163,,79957.0
47.61166,-122.33528,,155.32351866374015,,127268.0
47.61125,-122.33494,,100.9463683605481,,500000.0
47.61033,-122.3357,,124.46072769422712,,109830.0
47.60996,-122.33572,,132.1522701311608,,332067.0
47.60991,-122.33687,,134.29486910873902,,109266.0
47.60953,-122.33647,,35.86957810233413,,60660.0
47.60902,-122.33674,,33.601603760716216,,137500.0
47.60923,-122.33625,,129.45345745378984,,151039.0
47.61022,-122.33745,,167.52830936318756,,755000.0
47.60987,-122.33824,,143.57873207812247,,130893.0
47.60821,-122.33899,,170.40315952907582,,79920.0
47.60881,-122.34119,,,,
47.61164,-122.33446,,90.11564945236391,,147852.0
47.61185,-122.33421,,110.4435021833244,,267335.0
47.61043,-122.33206,,81.34289943089735,,1605578.0
47.60967,-122.33229,,83.19002473019562,,794592.0
47.60909,-122.33202,,120.94786615625664,,456304.0
47.61029,-122.34089,,94.62311452237833,,115857.0
47.61116,-122.34748,,113.26842719210975,,87500.0
47.6117,-122.34778,,89.22828515903822,,374405.0
47.61252,-122.34351,,181.59645750377135,,193500.0
47.61108,-122.34217,,45.49222622751793,,102846.0
47.61304,-122.34059,,257.16036704461055,,52800.0
47.61216,-122.33951,,,,
47.6113,-122.33844,,61.59173067162693,,861702.0
47.61,-122.32922,,213.42121075413576,,206950.0
47.61195,-122.33167,,69.00033353447377,,1842925.0
47.61048,-122.32837,,112.82966597843087,,68500.0
47.61048,-122.32837,,147.3803326478689,,266000.0
47.60921,-122.32425,,228.4880296045187,,690158.0
47.62177,-122.34292,,111.04693684550173,,934154.0
47.62177,-122.36158,,68.3260170129518,,275734.0
47.56064,-122.32522,,114.11423455667294,,123061.0
47.54868,-122.3255,,,,
47.5471,-122.32406,,78.22467155334871,,106000.0
47.63349,-122.32634,,460.0810098626374,,158600.0
47.62958,-122.32826,,99.93845842920334,,139200.0
47.62566,-122.34287,,18.980376189307574,,95721.0
47.62677,-122.3417,69.83544865396661,,391386.0,
47.62929,-122.34194,,62.14719376984182,,228460.0
47.64776,-122.33924,,415.1639673131731,,103697.0
47.70105,-122.32659,,194.46609463358115,,74880.0
47.69999,-122.32663,,192.99495091873595,,88774.0
47.69917,-122.3268,,182.1665531967242,,127392.0
47.5671,-122.36416,,180.19996367383428,,55593.0
47.62269,-122.33224,,64.5010626021058,,134056.0
47.5653,-122.33076,,295.0925044346724,,158415.0
47.61907,-122.33651,,568.2568310552692,,287819.0
47.60953,-122.32793,,640.4262315164375,,158738.0
47.66057,-122.36857,,259.675071434881,,164437.0
47.62402,-122.33755,,81.68479575567113,,184482.0
47.62348,-122.33743,,622.9693094841525,,60375.0
47.62254,-122.33753,,596.3330973848982,,258505.0
47.62286,-122.33804,,150.43022137056937,,139282.0
47.62383,-122.3356,,85.3480825198812,,271071.0
47.62572,-122.33389,,21.829774905982323,,257970.0
47.62855,-122.33035,,152.38176707683058,,560516.0
47.62621,-122.33128,,129.28368274061617,,226592.0
47.62855,-122.33035,,675.4555378154015,,603009.0
47.62121,-122.33885,,372.8007032819919,,159700.0
47.62137,-122.33744,,74.81257545819136,,209816.0
47.62131,-122.33814,,79.50047061332884,,303103.0
47.62405,-122.34036,,779.4643118337704,,102235.0
47.62405,-122.34036,,316.405849448237,,436497.0
47.62115,-122.3597,,81.10196383028108,,88062.0
47.62224,-122.3585,,98.00644142961518,,87178.0
47.62224,-122.3585,,109.595929392695,,87178.0
47.62003,-122.35706,,47.5496669352123,,86995.0
47.62014,-122.35768,,103.56250668664467,,94278.0
47.65821,-122.31831,,292.1995715806874,,196749.0
47.65884,-122.3183,,,,
47.66838,-122.3931,,149.50406719110754,,111445.0
47.56885,-122.37121,,21.941276588356057,,98475.0
47.62667,-122.32965,,334.31690226053945,,351530.0
