lat,lon,pca_result,K_mean_label,C_mean_label,GMM_label
21.23333,81.63333,0.17542988,5,1,5
26.49022,74.55211,0.2790073,14,1,14
19.79825,85.82494,0.09017484,9,1,9
18.51957,73.85535,-0.81911385,13,17,13
21.64219,69.60929,-0.2672767,14,17,14
25.59408,85.13563,-0.019012341,5,7,5
30.33625,76.3922,-0.21533649,5,17,5
29.38747,76.96825,0.3142814,5,1,5
15.49574,73.82624,-0.33264425,9,17,9
14.44992,79.98697,-0.3714493,5,17,5
19.99727,73.79096,-0.56202143,13,17,13
19.16023,77.31497,-0.54604954,13,17,13
21.14631,79.08491,-0.6769878,13,17,13
12.29791,76.63925,-0.33586106,13,17,13
27.5035,77.67215,0.18469425,5,1,5
12.91723,74.85603,0.12105466,1,1,1
9.919,78.11953,-0.09654199,18,17,18
13.08784,80.27847,-0.81325614,13,17,13
30.91204,75.85379,0.0966157,5,1,5
26.83928,80.92313,-0.3747907,5,17,5
25.67467,94.11099,0.439802,5,1,5
22.80278,86.18545,1.178341,6,1,6
26.91962,75.78781,-0.61976284,13,17,13
23.16697,79.95006,-0.21047035,5,17,5
27.08694,93.60987,0.39640582,5,1,5
22.71792,75.8333,-0.118836775,5,2,5
24.80805,93.9442,0.45909113,18,1,18
17.38405,78.45636,-0.033697058,5,2,5
29.15394,75.72294,0.05550431,5,1,5
29.94791,78.16025,0.2324733,7,1,7
26.1844,91.7458,0.07329166,9,1,9
17.99177,73.0378,1.2511611,7,1,7
28.65195,77.23149,0.6322949,5,1,5
30.32443,78.03392,-0.5417566,13,17,13
11.00555,76.96612,-0.780436,13,17,13
9.93988,76.26022,-0.2804161,9,17,9
14.22262,76.40038,-0.061971646,5,17,5
30.73629,76.7884,-0.52355945,13,17,13
22.56263,88.36304,-0.2549749,5,17,5
19.07283,72.88261,-0.7091646,16,17,16
24.69808,84.9869,0.8737511,5,1,5
20.27241,85.83385,1.7946798,15,1,15
23.25469,77.40289,-0.4145687,9,17,9
15.85212,74.50447,-0.16256881,5,17,5
12.97194,77.59369,-0.6605474,13,17,13
23.68333,86.98333,1.4292222,6,1,6
20.93333,77.75,-0.12280631,5,2,5
25.44478,81.84322,-0.13000421,5,17,5
23.72894,92.71791,0.21827346,5,1,5
23.02579,72.58727,-0.6060468,13,17,13
27.18333,78.01667,0.41013193,5,1,5
31.89722,54.3675,-0.09470471,3,6,3
35.69439,51.42151,-0.76356006,3,17,3
