latitude,longitude,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Residential Area (ft²),Non-residential Area (ft²)
41.89324294,-87.62922972,158.06066542522848,,1210471.0,
41.99090057,-87.66660744,241.66560821501997,,80500.0,
41.89028754,-87.61815831,201.5983337459501,,620690.0,
41.88798761,-87.63534171,,161.84654962703036,,4259185.0
41.91657013,-87.69476694,166.26341452913255,,122864.0,
41.88717109,-87.65213461,340.41408781201903,,140429.0,
41.88863693,-87.62751976,,283.941315135141,,1881319.0
41.72018758,-87.65671845,,275.7385660312369,,150000.0
41.80740022,-87.70533038,,794.7201920282447,,104000.0
41.92408465,-87.65537041,,262.8034616750805,,164408.0
41.79901055,-87.5834949,178.8830285351388,,238232.0,
41.92201051,-87.65461957,266.27385552673223,,81250.0,
41.95402016,-87.6620278,183.9308741375413,,288535.0,
41.97459,-87.66273,232.8318784108156,,93960.0,
41.869894,-87.764317,,138.50026371591878,,84116.0
41.88080894,-87.65745938,178.2520478348385,,314000.0,
41.88770297,-87.62267404,242.6120792654705,,2295495.0,
41.78841222,-87.71972596,,213.27147670150586,,110691.0
41.92266329,-87.648639,,191.18715219099494,,51170.0
41.73927,-87.668041,,229.3614845591639,,68005.0
41.86712211,-87.62162242,251.44580906967485,,809005.0,
41.89203698,-87.7473847,,259.6485581735789,,108716.0
41.88127065,-87.62814571,,26.50118941261316,,56109.0
41.92201051,-87.65461957,318.0142729513579,,90140.0,
41.85950051,-87.62036992,267.2203265771827,,554648.0,
41.9398511,-87.65844752,220.52775475495952,,59960.0,
42.00735706,-87.6727274,,277.00052743183755,,85500.0
41.886028,-87.633976,241.0346275147197,,597377.0,
41.93214333,-87.64141628,265.95836517658205,,86222.0,
41.80724939,-87.67297316,,265.95836517658205,,101940.0
41.87745822,-87.63573828,,158.6916461255288,,1627486.0
41.90200586,-87.62471982,158.37615577537863,,562627.0,
41.88538531,-87.6445013,,90.54573049309495,,112458.0
41.922195,-87.64960715,,251.761299419825,,57566.0
41.8832102,-87.64337484,219.58128370450902,,76037.0,
41.82021138,-87.61246867,418.971184999408,,70455.0,
41.77303762,-87.56716244,489.01004273274276,,322820.0,
41.9398511,-87.65844752,266.58934587688236,,52400.0,
41.98305225,-87.66613248,,248.60639591832341,,133238.0
41.83033232,-87.61897054,,182.0379320366404,,121900.0
41.88673545,-87.61817365,299.4003422924987,,615718.0,
41.86863212,-87.62730687,177.30557678438805,,108010.0,
41.87755536,-87.6304139,,118.6243716564589,,868473.0
41.90676046,-87.69632541,546.4292864600714,,75000.0,
41.89198218,-87.63699623,272.2681721795852,,72842.0,
41.8808242,-87.72327934,281.7328826840899,,70370.0,
41.756041,-87.656765,163.7394917279313,,203603.0,
41.89626597,-87.63667376,317.06780190090745,,412335.0,
41.87911301,-87.64651787,219.58128370450902,,475674.0,
41.89142613,-87.64880834,293.4060256396457,,125549.0,
41.89798276,-87.62522385,197.1814688438479,,672000.0,
41.84550365,-87.63055693,340.72957816216916,,81994.0,
41.97223008,-87.6645957,190.24068114054447,,160000.0,
41.92527418,-87.63936489,362.49841232253,,189852.0,
41.80224043,-87.60332678,236.30227226246734,,137394.0,
41.96026421,-87.76436775,,318.3297633015081,,50289.0
41.97338532,-87.65197698,364.0758640732808,,65492.0,
41.91573465,-87.67209343,,289.3046510876936,,72186.0
41.94672055,-87.70319673,,484.5931778306406,,138000.0
41.9037528,-87.63558845,169.10282768048395,,167500.0,
41.94952976,-87.64585718,226.52207140781246,,748762.0,
41.89622411,-87.64008035,195.6040170930971,,385917.0,
41.97208235,-87.70234945,247.65992486787297,,55125.0,
41.89320332,-87.64119962,368.492728975383,,291682.0,
41.93430593,-87.6384177,,420.5486367501589,,373881.0
41.89533925,-87.62493853,,305.39465894535164,,205137.0
41.9037528,-87.63558845,234.4093301615664,,105775.0,
41.86863212,-87.62730687,183.9308741375413,,270321.0,
41.96846,-87.65661,283.941315135141,,82133.0,
41.9037528,-87.63558845,281.41739233393974,,58000.0,
41.9037528,-87.63558845,365.65331582403155,,79152.0,
41.91952065,-87.73118053,,277.63150813213787,,130113.0
41.76424143,-87.74194078,,234.4093301615664,,425352.0
41.88490511,-87.6305179,,183.29989343724102,,1253060.0
41.884658,-87.636809,,198.4434302444485,,1484327.0
41.95246586,-87.64839822,259.3330678234288,,101428.0,
41.87880098,-87.64729762,,402.56568679159983,,115232.0
41.876267,-87.63166,,2309.704853449297,,160000.0
41.89877964,-87.6278525,204.43774689730148,,596499.0,
41.905065,-87.644522,,217.68834160360808,,68922.0
41.73979805,-87.65349931,277.946998482288,,86040.0,
41.9083292,-87.74766344,,769.4809640162321,,179477.0
41.85554,-87.621981,151.75085842222535,,181723.0,
41.88201315,-87.62821922,298.4538712420482,,104965.0,
41.95872281,-87.71583845,,180.14498993573943,,90100.0
41.97223008,-87.6645957,246.0824731171222,,50100.0,
41.89053894,-87.6340678,,124.93417865946203,,73332.0
41.87320687,-87.63328749,312.01995629850495,,365484.0,
41.9321161,-87.79631882,,267.2203265771827,,112000.0
41.96573115,-87.65423709,226.20658105766233,,165792.0,
41.9398511,-87.65844752,207.27716004865295,,136304.0,
41.99125997,-87.67384081,350.50977901682404,,111293.0,
