nearest_humidity_1,nearest_humidity_2,nearest_humidity_3,nearest_humidity_4,nearest_humidity_5,nearest_humidity_6,nearest_humidity_7,nearest_humidity_8,nearest_humidity_9,nearest_humidity_10,nearest_humidity_11,nearest_humidity_12
272.9393310546875,267.5259094238281,275.2928771972656,274.17730712890625,279.0950622558594,286.5585632324219,287.8027038574219,290.53558349609375,281.7803955078125,281.3194580078125,264.5502624511719,274.64691162109375
272.8670654296875,263.94384765625,271.8299865722656,271.9819641113281,277.5657653808594,285.3866882324219,286.5917663574219,290.23675537109375,282.7432861328125,277.1514892578125,264.4194030761719,273.87542724609375
271.4803466796875,265.5044250488281,264.6620178222656,271.8862609863281,279.1458435058594,286.5409851074219,287.6249694824219,291.98284912109375,282.5928955078125,279.1241455078125,266.9545593261719,274.22894287109375
273.6033935546875,265.8833312988281,276.6815490722656,273.33355712890625,277.3177185058594,287.6015319824219,286.3124694824219,289.94183349609375,283.5948486328125,279.5499267578125,265.0658874511719,273.84222412109375
273.1639404296875,266.0337219238281,278.1424865722656,273.64605712890625,277.6868591308594,286.9530944824219,287.9413757324219,288.80120849609375,284.2764892578125,281.6202392578125,265.0736999511719,274.29730224609375
256.5135498046875,268.4009094238281,263.3319396972656,277.99176025390625,282.1302185058594,286.5605163574219,289.1913757324219,284.48284912109375,283.9698486328125,271.3878173828125,270.4877624511719,271.1938171386719
273.4608154296875,268.0630187988281,282.6756896972656,286.88629150390625,288.9642028808594,288.9237976074219,285.1132507324219,285.81292724609375,288.9913330078125,282.1221923828125,282.88031005859375,278.50433349609375
275.4940185546875,270.1177062988281,282.6893615722656,280.77301025390625,282.4212341308594,285.0038757324219,287.4003601074219,283.61761474609375,282.9132080078125,280.6046142578125,275.66351318359375,280.90667724609375
292.8338623046875,294.01995849609375,293.1874084472656,293.7847595214844,293.4915466308594,293.7792663574219,283.8085632324219,286.95355224609375,291.7764892578125,294.8643798828125,293.9779357910156,293.5980529785156
290.7615966796875,291.13909912109375,291.1327209472656,284.34332275390625,283.8782653808594,280.2128601074219,277.7753601074219,280.00433349609375,283.4327392578125,290.0089111328125,290.61468505859375,291.55120849609375
290.2576904296875,290.48284912109375,290.0663146972656,286.33160400390625,285.4427185058594,279.5409851074219,276.3847351074219,280.25433349609375,290.5479736328125,290.9132080078125,290.38031005859375,291.49456787109375
294.4959716796875,296.31488037109375,295.2088928222656,295.5093688964844,295.4173278808594,292.4237976074219,291.7206726074219,292.8226623535156,293.9425048828125,294.7081298828125,294.7865295410156,296.0668029785156
291.9393310546875,293.98675537109375,293.9999084472656,294.1675720214844,296.2102966308594,295.7089538574219,295.6718444824219,295.7972717285156,295.7960205078125,295.2491455078125,295.6537170410156,292.19573974609375
294.4959716796875,296.31488037109375,295.2088928222656,295.5093688964844,295.4173278808594,292.4237976074219,291.7206726074219,292.8226623535156,293.9425048828125,294.7081298828125,294.7865295410156,296.0668029785156
271.1697998046875,268.4634094238281,279.8163146972656,279.88629150390625,280.6204528808594,288.4257507324219,283.3027038574219,281.72113037109375,285.3741455078125,279.5635986328125,271.6147155761719,272.8188171386719
273.1014404296875,266.6938781738281,280.1991271972656,281.25347900390625,280.5227966308594,288.4140319824219,283.2597351074219,284.31292724609375,285.1358642578125,281.6495361328125,271.8647155761719,275.87933349609375
297.7869873046875,298.08441162109375,297.0858459472656,296.6382751464844,298.4739685058594,296.1816101074219,296.9159851074219,296.3656311035156,296.8917236328125,298.0518798828125,298.6830139160156,299.2875061035156
