index,geonameid,name_x,asciiname,latitude,longitude,iso alpha 2,City,Geonames ID,Country,Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),source,ISO_alpha3,Population_2023,population_density,Subnational HDI,Educational index,Income index,GDP_2022,Urbanization_Rate_2022,Paris_Agreement,iso3,name_y,continent,region,Region Grouped,hdd_total_year,hdd_average_year,hdd_variance_year,cdd_total_year,cdd_average_year,cdd_variance_year,2m_temperature_2023_avg,2m_dewpoint_temperature_2023_avg,total_precipitation_2023,longitude_sin,longitude_cos,latitude_sin,latitude_cos,pca_result,K_mean_label,C_mean_label,GMM_label,K_mean_0.0,K_mean_1.0,K_mean_2.0,K_mean_3.0,K_mean_4.0,K_mean_5.0,K_mean_6.0,K_mean_7.0,K_mean_8.0,K_mean_9.0,K_mean_10.0,K_mean_11.0,K_mean_12.0,K_mean_13.0,K_mean_14.0,K_mean_15.0,K_mean_16.0,K_mean_17.0,K_mean_18.0,K_mean_19.0,C_mean_0.0,C_mean_1.0,C_mean_2.0,C_mean_6.0,C_mean_7.0,C_mean_8.0,C_mean_14.0,C_mean_17.0,GMM_0.0,GMM_1.0,GMM_2.0,GMM_3.0,GMM_4.0,GMM_5.0,GMM_6.0,GMM_7.0,GMM_8.0,GMM_9.0,GMM_10.0,GMM_11.0,GMM_12.0,GMM_13.0,GMM_14.0,GMM_15.0,GMM_16.0,GMM_17.0,GMM_18.0,GMM_19.0
20,2172517,Canberra,Canberra,-35.28346,149.12807,AU,Canberra,2172517,Australia,187.8649587,177.6965879,World Bank CURB,AUS,26638544.0,937.0625272541454,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,619.8440208435059,51.65366840362549,6561.519651173786,1053.3389905293786,87.77824921078155,13890.47119279275,285.83,280.73,0.565,0.5131208125035532,-0.8583163937474882,-0.5776219997838781,0.8163043705418179,0.35633695,12.0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2174003,Brisbane,Brisbane,-27.46794,153.02809,AU,Brisbane,2174003,Australia,100.3526408,192.3313237,World Bank CURB,AUS,26638544.0,5214.028727957856,0.946,0.924,0.936,0.946,86.488,1,AUS,Australia,Oceania,Australia and New Zealand,Asia & Oceania,73.82366943359378,6.151972452799481,362.0265720696549,2168.8787790934234,180.73989825778528,11594.11945697629,293.27,287.65,0.65,0.45355361767708624,-0.8912289918376912,-0.46125221179355963,0.8872690669213873,0.9595706,12.0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,587084,Baku,Baku,40.37767,49.89201,AZ,Baku,587084,Azerbaijan,85.64439655,108.623557,World Bank CURB,AZE,10112555.0,3760.1163017951058,0.76,0.705,0.757,0.76,57.17,1,AZE,Azerbaijan,Asia,Western Asia,Asia & Oceania,1331.5332361857093,110.96110301547576,5448.425657163699,28.258756001790385,2.354896333482532,52.31741619593204,289.5,285.44,0.165,0.764831569276831,0.6442302931697174,0.647823055984435,0.7617908427744374,-0.7127567,16.0,17.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,3191281,Sarajevo,Sarajevo,43.84864,18.35644,BA,Sarajevo,3191281,Bosnia and Herzegovina,206.924569,143.0159913,World Bank CURB,BIH,3210847.0,6199.847883217864,0.779,0.72,0.772,0.779,49.841,1,BIH,Bosnia & Herzegovina,Europe,Southern Europe,Europe,2974.958562215171,247.9132135179309,4553.428962233771,0.0,0.0,0.0,283.17,278.95,1.361,0.3149275481718973,0.9491157144428899,0.6927556469641627,0.7211723882673715,-0.9068456,17.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,3204541,Banja Luka,Banja Luka,44.77842,17.19386,BA,Banja Luka,3204541,Bosnia and Herzegovina,173.763518,243.6704133,World Bank CURB,BIH,3210847.0,7226.499957734667,0.779,0.72,0.772,0.779,49.841,1,BIH,Bosnia & Herzegovina,Europe,Southern Europe,Europe,3432.75600687663,286.06300057305253,4686.070976127626,0.0,0.0,0.0,286.3,281.82,1.074,0.29560567764476425,0.9553100456627575,0.7043669058118186,0.7098360810758245,-0.9457511,17.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1185241,Dhaka,Dhaka,23.7104,90.40744,BD,Dhaka,1185241,Bangladesh,73.36099138,108.2579053,World Bank CURB,BGD,172954319.0,120234.29228368073,0.67,0.578,0.631,0.67,39.711,1,BGD,Bangladesh,Asia,Southern Asia,Asia & Oceania,0.0,0.0,0.0,1415.9764963785815,117.9980413648818,2583.9818102484733,299.51,295.21,1.7,0.9999747157406901,-0.007111109570673219,0.40211397583522407,0.915589619009515,0.2716398,5.0,1.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1337182,Narayanganj,Narayanganj,23.75,90.58333,BD,Narayanganj,1337182,Bangladesh,74.05280172,110.0905651,World Bank CURB,BGD,172954319.0,959.5809661756456,0.67,0.578,0.631,0.67,39.711,1,BGD,Bangladesh,Asia,Southern Asia,Asia & Oceania,0.0,0.0,0.0,1407.4797515869143,117.28997929890954,2526.4801570960317,299.51,295.21,1.7,0.9999481737706372,-0.010180853243600588,0.40274668985873724,0.9153114791194471,0.75637513,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1337200,Chittagong,Chittagong,22.91667,91.5,BD,Chittagong,1337200,Bangladesh,73.05926724,107.6991145,World Bank CURB,BGD,172954319.0,637.2708965994791,0.67,0.578,0.631,0.67,39.711,1,BGD,Bangladesh,Asia,Southern Asia,Asia & Oceania,0.0,0.0,0.0,1504.7407379150386,125.39506149291988,2524.1956414558695,299.29,295.06,1.94,0.9996573249755573,-0.026176948307873017,0.3893919492316614,0.9210721523711197,1.0579256,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2800866,Brussels,Brussels,50.85045,4.34878,BE,Brussels,2800866,Belgium,228.8605618,230.5237913,World Bank CURB,BEL,11822592.0,15320.437170174388,0.942,0.918,0.949,0.942,98.153,1,BEL,Belgium,Europe,Western Europe,Europe,5302.806788126625,441.9005656772187,2179.3974135524145,0.0,0.0,0.0,285.04,281.28,1.027,0.07582767466194017,0.9971209373768876,0.7755007017815763,0.6313467047005812,-0.51650107,16.0,17.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2357048,Ouagadougou,Ouagadougou,12.36566,-1.53388,BF,Ouagadougou,2357048,Burkina Faso,66.41702586,109.0756658,World Bank CURB,BFA,23251485.0,9562.866713187994,0.438,0.302,0.455,0.438,31.877,1,BFA,Burkina Faso,Africa,Western Africa,Africa,0.0,0.0,0.0,1667.013931274414,138.91782760620117,4022.669783330647,302.29,288.7,0.584,-0.026768058617775658,0.9996416713191959,0.2141499239470128,0.9768008036818401,-0.038887978,1.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,727012,Sofia,Sofia,42.66667,23.8,BG,Sofia,727012,Bulgaria,92.48706897,121.8298563,World Bank CURB,BGR,6430370.0,0.5057427883148191,0.799,0.766,0.84,0.799,76.363,1,BGR,Bulgaria,Europe,Eastern Europe,Europe,2215.732284545899,184.64435704549155,7393.246330371334,2.1380615234375018,0.1781717936197918,0.3809422565003244,283.68,279.24,0.824,0.40354529635239006,0.9149596678498247,0.6777320419242753,0.7353089686309779,1.8433665,15.0,1.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,728193,Plovdiv,Plovdiv,42.15,24.75,BG,Plovdiv,728193,Bulgaria,87.67564655,109.4653083,World Bank CURB,BGR,6430370.0,10981.065050092164,0.799,0.766,0.84,0.799,76.363,1,BGR,Bulgaria,Europe,Eastern Europe,Europe,2132.756576538085,177.72971471150709,6416.876614148126,0.0,0.0,0.0,287.92,280.11,0.399,0.4186597375374281,0.9081431738250813,0.671073859666863,0.7413905009317421,-0.9390952,17.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,425378,Bujumbura,Bujumbura,-3.38193,29.36142,BI,Bujumbura,425378,Burundi,65.75323276,104.0175035,World Bank CURB,BDI,13238559.0,13533.112072507423,0.42,0.387,0.297,0.42,14.417,1,BDI,Burundi,Africa,Eastern Africa,Africa,0.0,0.0,0.0,2512.409764607748,209.367480383979,2443.697137526357,297.33,289.81,0.999,0.49031701227275565,0.8715441626652768,-0.05899154476070822,0.998258482381565,-0.7806423,1.0,17.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7668939,Porto-Novo,Porto-Novo,6.48047,2.62129,BJ,Porto-Novo,7668939,Benin,66.10452586,58.71582147,World Bank CURB,BEN,13712828.0,13275.530299298392,0.504,0.391,0.533,0.504,49.534,1,BEN,Benin,Africa,Western Africa,Africa,0.0,0.0,0.0,2569.851089477538,214.15425745646152,4268.913163328448,300.55,297.43,1.404,0.04573418307048645,0.9989536448198562,0.11286453551044574,0.9936103847202944,-0.28712714,1.0,17.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
